page_url,source,followers,date,time,post_type,interactions,post_message,post_link,time_zone
Facebook.com/MuslimAmerica,United Muslims of America,323936,2017-07-31,12:35:00,Facebook,4183,Send a thank you message to them in the comments ...,https://www.facebook.com/MuslimAmerica/posts/1849776905339409,GMT-0400 
Facebook.com/MuslimAmerica,United Muslims of America,0,2016-12-01,11:15:00,Facebook,4178,Morgan Freeman Thinks the Muslim Call to Prayer is One of the Most Beautiful Sounds in the World.,https://www.facebook.com/MuslimAmerica/posts/1715516345432133,GMT-0500 
Facebook.com/MuslimAmerica,United Muslims of America,0,2016-11-19,10:47:01,Facebook,4169,Muslims Make America great too,https://www.facebook.com/MuslimAmerica/posts/1707971336186634,GMT-0500 
Facebook.com/MuslimAmerica,United Muslims of America,254062,2017-03-06,10:52:00,Facebook,4149,How many likes they can get ?,https://www.facebook.com/MuslimAmerica/posts/1767628303554270,GMT-0500 
Facebook.com/MuslimAmerica,United Muslims of America,201648,2016-12-29,13:21:01,Facebook,4122,"Share, show the world who the real Muslims are !!",https://www.facebook.com/MuslimAmerica/posts/1731469137170187,GMT-0500 
Facebook.com/MuslimAmerica,United Muslims of America,0,2016-08-25,12:19:00,Facebook,4112,Surprised ? Share :),https://www.facebook.com/MuslimAmerica/posts/1659243101059458,GMT-0400 
Facebook.com/MuslimAmerica,United Muslims of America,247620,2017-02-25,11:21:00,Facebook,4108,Please share some truth with your friends .... teach the world!,https://www.facebook.com/MuslimAmerica/posts/1761711550812612,GMT-0500 
Facebook.com/MuslimAmerica,United Muslims of America,214704,2017-01-19,14:08:06,Facebook,4091,It is the duty of the Muslim husband to be religiously educated and to see that his wife also receive a religious education.,https://www.facebook.com/MuslimAmerica/posts/1742356202748147,GMT-0500 
Facebook.com/MuslimAmerica,United Muslims of America,208921,2017-01-09,15:10:00,Facebook,4087,When was the last time did you recite Quran!,https://www.facebook.com/MuslimAmerica/posts/1737032163280551,GMT-0500 
Facebook.com/MuslimAmerica,United Muslims of America,0,2016-08-29,12:30:01,Facebook,4083,WE ARE MUSLIM AMERICANS AND PROUD !!!,https://www.facebook.com/MuslimAmerica/posts/1661520070831761,GMT-0400 
Facebook.com/MuslimAmerica,United Muslims of America,314422,2017-07-01,11:11:00,Facebook,4081,"'And We have not sent you, [O Muhammad], except as a mercy to the worlds.'' (Quran 21-107)",https://www.facebook.com/MuslimAmerica/posts/1831922987124801,GMT-0400 
Facebook.com/MuslimAmerica,United Muslims of America,260850,2017-03-21,13:51:01,Facebook,4076,"Muslims are very nice people especially when you give them love and respect. Please, Share if you agree.",https://www.facebook.com/MuslimAmerica/posts/1776237199360047,GMT-0400 
Facebook.com/MuslimAmerica,United Muslims of America,278341,2017-05-21,14:51:00,Facebook,4076,SHARE IF YOU RESPECT HER TOO...,https://www.facebook.com/MuslimAmerica/posts/1801464963503937,GMT-0400 
Facebook.com/MuslimAmerica,United Muslims of America,319901,2017-07-16,12:35:00,Facebook,4048,"There is no racism in Islam, MashaAllah bless them!",https://www.facebook.com/MuslimAmerica/posts/1839500126367087,GMT-0400 
Facebook.com/MuslimAmerica,United Muslims of America,255698,2017-03-09,11:21:00,Facebook,4034,How many likes for this news ?,https://www.facebook.com/MuslimAmerica/posts/1769443996706034,GMT-0500 
Facebook.com/MuslimAmerica,United Muslims of America,280861,2017-05-26,14:32:00,Facebook,4032,"How many likes can they get as a support ,,,",https://www.facebook.com/MuslimAmerica/posts/1801480966835670,GMT-0400 
Facebook.com/MuslimAmerica,United Muslims of America,271696,2017-04-29,16:55:00,Facebook,4029,Terrorism knows no religion!,https://www.facebook.com/MuslimAmerica/posts/1798375593812874,GMT-0400 
Facebook.com/MuslimAmerica,United Muslims of America,0,2016-07-03,13:27:00,Facebook,3984,"And we too stand with you brother, one country one family !!!",https://www.facebook.com/MuslimAmerica/posts/1630113950639040,GMT-0400 
Facebook.com/MuslimAmerica,United Muslims of America,0,2016-09-16,11:27:00,Facebook,3958,FoxNews will not show you Muslims unless they are speaking about terrorism !!,https://www.facebook.com/MuslimAmerica/posts/1670892403227861,GMT-0400 
Facebook.com/MuslimAmerica,United Muslims of America,267437,2017-04-04,15:10:00,Facebook,3934,Share if you are a Muslim and you are proud !!,https://www.facebook.com/MuslimAmerica/posts/1784685985181835,GMT-0400 
Facebook.com/MuslimAmerica,United Muslims of America,206912,2017-01-06,10:07:01,Facebook,3892,How many likes can we get for our brothers in Islam,https://www.facebook.com/MuslimAmerica/posts/1731840703799697,GMT-0500 
Facebook.com/MuslimAmerica,United Muslims of America,234843,2017-02-12,10:51:39,Facebook,3860,"SHARE IF YOU RESPECT HER TOO... #muslim_voice #Islamophobia #StopIslamophobia #muslimpride #middleeast #east #muslimerican #Islam #submission #AmericanMuslims #UnitedMuslimsOfAmerica #USAMuslims #MuslimsOfAmerica #ArabAmerican #RefugeesWeclcome #SyrianRefugees",https://www.facebook.com/MuslimAmerica/posts/1755819868068447,GMT-0500 
Facebook.com/MuslimAmerica,United Muslims of America,246805,2017-02-24,09:28:01,Facebook,3839,Because we all follow the same ONE GOD !!!,https://www.facebook.com/MuslimAmerica/posts/1761709747479459,GMT-0500 
Facebook.com/MuslimAmerica,United Muslims of America,0,2016-08-29,13:30:01,Facebook,3824,Alcohol and pork is against Christian beliefs too but some people just tend to ignore the things they don't agree with.,https://www.facebook.com/MuslimAmerica/posts/1661520317498403,GMT-0400 
Facebook.com/MuslimAmerica,United Muslims of America,325799,2017-08-07,11:42:00,Facebook,3812,At least give her a LIKE,https://www.facebook.com/MuslimAmerica/posts/1853093345007765,GMT-0400 
Facebook.com/MuslimAmerica,United Muslims of America,267437,2017-04-04,12:09:00,Facebook,3791,"Save the children ... Save the #SyrianRefugees !!",https://www.facebook.com/MuslimAmerica/posts/1784685588515208,GMT-0400 
Facebook.com/MuslimAmerica,United Muslims of America,0,2016-12-20,13:03:00,Facebook,3762,Exactly!,https://www.facebook.com/MuslimAmerica/posts/1727005384283229,GMT-0500 
Facebook.com/MuslimAmerica,United Muslims of America,207571,2017-01-07,14:19:00,Facebook,3729,Muslims are always the people of peace ... read history and you will know how many times Muslims helped the Jews.,https://www.facebook.com/MuslimAmerica/posts/1731843747132726,GMT-0500 
Facebook.com/MuslimAmerica,United Muslims of America,0,2016-10-14,15:54:00,Facebook,3722,"We are Americans, We are Muslims, We are successful in our society.......And no, we are not terrorists !!!",https://www.facebook.com/MuslimAmerica/posts/1685869241730177,GMT-0400 
Facebook.com/MuslimAmerica,United Muslims of America,202339,2016-12-30,12:05:01,Facebook,3703,"She defends the country, do you ? Do you dare to #standwithher ?",https://www.facebook.com/MuslimAmerica/posts/1731849277132173,GMT-0500 
Facebook.com/MuslimAmerica,United Muslims of America,0,2016-09-18,15:41:00,Facebook,3699,You don't have to be a Muslim to love Quran. MAshaAllah :),https://www.facebook.com/MuslimAmerica/posts/1672670576383377,GMT-0400 
Facebook.com/MuslimAmerica,United Muslims of America,284879,2017-06-02,14:30:00,Facebook,3696,Every Muslim is an ambassador of Islam ... show them Islam!,https://www.facebook.com/MuslimAmerica/posts/1815807712069662,GMT-0400 
Facebook.com/MuslimAmerica,United Muslims of America,312930,2017-06-28,12:40:00,Facebook,3689,MashaAllah ... I hope we use the same organized mind in our daily life and work. only then we'll be a better community.,https://www.facebook.com/MuslimAmerica/posts/1830719953911771,GMT-0400 
Facebook.com/MuslimAmerica,United Muslims of America,0,2016-08-30,12:47:00,Facebook,3677,Islam unites all races in one religion .. we are all the same in Islam !!,https://www.facebook.com/MuslimAmerica/posts/1662087454108356,GMT-0400 
Facebook.com/MuslimAmerica,United Muslims of America,0,2016-07-03,16:21:00,Facebook,3674,True fact Alhamdolellah ....,https://www.facebook.com/MuslimAmerica/posts/1630115917305510,GMT-0400 
Facebook.com/MuslimAmerica,United Muslims of America,269017,2017-04-20,14:46:00,Facebook,3660,Please share some truth with your friends .... teach the world!,https://www.facebook.com/MuslimAmerica/posts/1794522554198178,GMT-0400 
Facebook.com/MuslimAmerica,United Muslims of America,281335,2017-05-27,15:47:00,Facebook,3595,"Share, show the world who the real Muslims are.",https://www.facebook.com/MuslimAmerica/posts/1801482076835559,GMT-0400 
Facebook.com/MuslimAmerica,United Muslims of America,215501,2017-01-20,15:33:01,Facebook,3584,Well said brother Mike Tyson ...,https://www.facebook.com/MuslimAmerica/posts/1742360302747737,GMT-0500 
Facebook.com/MuslimAmerica,United Muslims of America,217700,2017-01-23,10:30:00,Facebook,3574,"And we too stand with you brother, one country one family !!!",https://www.facebook.com/MuslimAmerica/posts/1744596442524123,GMT-0500 
